r11,r12,r13,r21,r22,r23,r31,r32,r33,c11,c12,c13,c21,c22,c23,c31,c32,c33
80.0,50.0,80.0,20.0,90.0,60.0,30.0,10.0,10.0,70.0,30.0,40.0,60.0,10.0,70.0,10.0,40.0,50.0
20.0,51.0,50.0,10.0,70.0,30.0,60.0,5.0,45.0,20.0,10.0,60.0,51.0,70.0,5.0,50.0,30.0,45.0
70.0,100.0,48.0,10.0,29.0,40.0,40.0,60.0,100.0,70.0,10.0,40.0,100.0,29.0,60.0,48.0,40.0,100.0
20.0,60.0,70.0,30.0,90.0,20.0,40.0,40.0,50.0,40.0,20.0,80.0,90.0,40.0,90.0,60.0,10.0,60.0
13.0,80.0,60.0,74.0,20.0,70.0,60.0,100.0,10.0,13.0,74.0,60.0,80.0,20.0,100.0,60.0,70.0,10.0
50.0,40.0,65.0,70.0,55.0,35.0,60.0,100.0,10.0,50.0,70.0,60.0,40.0,55.0,100.0,65.0,35.0,10.0
80.0,70.0,10.0,60.0,50.0,40.0,80.0,20.0,80.0,90.0,40.0,20.0,60.0,50.0,60.0,80.0,50.0,60.0
20.0,90.0,20.0,80.0,10.0,60.0,30.0,10.0,80.0,70.0,30.0,40.0,30.0,80.0,60.0,20.0,90.0,10.0
20.0,50.0,50.0,50.0,80.0,20.0,1.0,90.0,40.0,20.0,50.0,1.0,50.0,80.0,90.0,50.0,20.0,40.0
75.0,40.0,45.0,70.0,15.0,100.0,70.0,60.0,0.0,75.0,70.0,70.0,40.0,15.0,60.0,45.0,100.0,0.0
5.0,100.0,30.0,35.0,60.0,80.0,30.0,60.0,80.0,5.0,35.0,30.0,100.0,60.0,60.0,30.0,80.0,80.0
10.0,100.0,0.0,0.0,60.0,70.0,90.0,40.0,20.0,10.0,0.0,90.0,100.0,60.0,40.0,0.0,70.0,20.0
100.0,55.0,75.0,80.0,10.0,98.0,80.0,90.0,91.0,100.0,80.0,80.0,55.0,10.0,90.0,75.0,98.0,91.0
35.0,60.0,45.0,100.0,30.0,30.0,51.0,70.0,30.0,35.0,100.0,51.0,60.0,30.0,70.0,45.0,30.0,30.0
70.0,10.0,30.0,90.0,70.0,80.0,20.0,70.0,40.0,30.0,50.0,40.0,50.0,70.0,40.0,60.0,40.0,20.0
90.0,10.0,10.0,70.0,90.0,40.0,40.0,70.0,30.0,60.0,50.0,30.0,20.0,50.0,70.0,90.0,60.0,90.0
30.0,30.0,50.0,30.0,90.0,10.0,10.0,40.0,10.0,40.0,90.0,50.0,10.0,20.0,20.0,30.0,20.0,10.0
55.0,0.0,25.0,50.0,50.0,30.0,35.0,100.0,35.0,55.0,50.0,35.0,0.0,50.0,100.0,25.0,30.0,35.0
0.0,60.0,50.0,100.0,20.0,50.0,50.0,40.0,52.0,0.0,100.0,50.0,60.0,20.0,40.0,50.0,50.0,52.0
53.0,100.0,20.0,53.0,50.0,65.0,100.0,1.0,100.0,53.0,53.0,100.0,100.0,50.0,1.0,20.0,65.0,100.0
62.0,55.0,100.0,65.0,100.0,5.0,55.0,22.0,100.0,62.0,65.0,55.0,55.0,100.0,22.0,100.0,5.0,100.0
75.0,40.0,45.0,70.0,15.0,100.0,70.0,60.0,0.0,75.0,70.0,70.0,40.0,15.0,60.0,45.0,100.0,0.0
40.0,20.0,10.0,80.0,40.0,70.0,90.0,60.0,60.0,80.0,70.0,30.0,40.0,30.0,40.0,80.0,20.0,90.0
30.0,20.0,50.0,40.0,60.0,70.0,20.0,30.0,10.0,80.0,90.0,50.0,10.0,20.0,10.0,50.0,70.0,50.0
10.0,100.0,40.0,50.0,70.0,17.0,36.0,20.0,40.0,10.0,50.0,36.0,100.0,70.0,20.0,40.0,17.0,40.0
80.0,90.0,20.0,30.0,40.0,20.0,90.0,40.0,40.0,80.0,90.0,50.0,20.0,50.0,70.0,60.0,40.0,40.0
70.0,5.0,100.0,100.0,55.0,20.0,5.0,60.0,40.0,70.0,100.0,5.0,5.0,55.0,60.0,100.0,20.0,40.0
38.0,20.0,100.0,90.0,5.0,45.0,80.0,30.0,60.0,38.0,90.0,80.0,20.0,5.0,30.0,100.0,45.0,60.0
80.0,30.0,80.0,40.0,40.0,70.0,30.0,30.0,50.0,90.0,80.0,50.0,90.0,60.0,90.0,50.0,60.0,90.0
20.0,40.0,60.0,50.0,21.0,35.0,10.0,30.0,80.0,20.0,50.0,10.0,40.0,21.0,30.0,60.0,35.0,80.0
10.0,80.0,10.0,90.0,60.0,60.0,70.0,90.0,30.0,40.0,90.0,70.0,10.0,10.0,80.0,40.0,70.0,70.0
80.0,60.0,50.0,60.0,70.0,90.0,0.0,0.0,100.0,80.0,60.0,0.0,60.0,70.0,0.0,50.0,90.0,100.0
50.0,70.0,60.0,80.0,20.0,20.0,80.0,90.0,70.0,60.0,70.0,70.0,10.0,70.0,40.0,40.0,70.0,30.0
22.0,40.0,30.0,40.0,22.0,55.0,5.0,40.0,65.0,22.0,40.0,5.0,40.0,22.0,40.0,30.0,55.0,65.0
30.0,30.0,53.0,25.0,45.0,51.0,35.0,10.0,60.0,30.0,25.0,35.0,30.0,45.0,10.0,53.0,51.0,60.0
60.0,90.0,20.0,40.0,30.0,50.0,50.0,30.0,50.0,70.0,60.0,70.0,10.0,90.0,70.0,20.0,70.0,30.0
20.0,40.0,80.0,80.0,10.0,30.0,20.0,40.0,70.0,20.0,50.0,20.0,50.0,90.0,30.0,40.0,10.0,90.0
20.0,30.0,40.0,20.0,20.0,80.0,40.0,20.0,60.0,70.0,30.0,20.0,70.0,80.0,20.0,70.0,60.0,60.0
80.0,65.0,50.0,10.0,100.0,60.0,70.0,60.0,70.0,80.0,10.0,70.0,65.0,100.0,60.0,50.0,60.0,70.0
40.0,15.0,70.0,22.0,80.0,0.0,30.0,100.0,55.0,40.0,22.0,30.0,15.0,80.0,100.0,70.0,0.0,55.0
40.0,10.0,70.0,20.0,10.0,70.0,70.0,20.0,20.0,30.0,50.0,70.0,90.0,50.0,20.0,30.0,10.0,20.0
13.0,100.0,100.0,50.0,40.0,91.0,10.0,60.0,100.0,13.0,50.0,10.0,100.0,40.0,60.0,100.0,91.0,100.0
80.0,90.0,50.0,10.0,35.0,100.0,95.0,20.0,91.0,80.0,10.0,95.0,90.0,35.0,20.0,50.0,100.0,91.0
10.0,100.0,60.0,60.0,40.0,50.0,50.0,100.0,30.0,10.0,60.0,50.0,100.0,40.0,100.0,60.0,50.0,30.0
60.0,30.0,30.0,30.0,70.0,30.0,60.0,50.0,90.0,10.0,30.0,40.0,10.0,90.0,40.0,50.0,70.0,70.0
70.0,80.0,50.0,40.0,10.0,90.0,60.0,60.0,80.0,90.0,80.0,50.0,20.0,60.0,80.0,40.0,20.0,50.0
90.0,80.0,10.0,30.0,10.0,10.0,80.0,10.0,30.0,10.0,30.0,30.0,30.0,10.0,70.0,50.0,10.0,60.0
45.0,70.0,45.0,80.0,1.0,50.0,50.0,40.0,55.0,45.0,80.0,50.0,70.0,1.0,40.0,45.0,50.0,55.0
100.0,80.0,10.0,35.0,100.0,50.0,80.0,100.0,40.0,100.0,35.0,80.0,80.0,100.0,100.0,10.0,50.0,40.0
100.0,35.0,10.0,80.0,41.0,40.0,51.0,35.0,55.0,100.0,80.0,51.0,35.0,41.0,35.0,10.0,40.0,55.0
10.0,100.0,70.0,22.0,75.0,60.0,55.0,50.0,35.0,10.0,22.0,55.0,100.0,75.0,50.0,70.0,60.0,35.0
55.0,45.0,10.0,80.0,40.0,25.0,20.0,25.0,100.0,55.0,80.0,20.0,45.0,40.0,25.0,10.0,25.0,100.0
20.0,40.0,100.0,40.0,70.0,40.0,100.0,10.0,70.0,20.0,40.0,100.0,40.0,70.0,10.0,100.0,40.0,70.0
100.0,35.0,82.0,100.0,33.0,30.0,100.0,47.0,70.0,100.0,100.0,100.0,35.0,33.0,47.0,82.0,30.0,70.0
