,model,Q,A
0,RANDOM GUESSING,0.28688709635892284,0.33412000000000003
1,NASH EQUILIBRIUM,0.5293162465048504,0.52
2,LEVEL-0,0.2877324062676777,0.3322359999999999
3,LEVEL-1,0.4610753594271288,0.64
4,LEVEL-2,0.6546000679865382,0.428
5,ML Linear Regression,0.0762448829505826,0.748
6,ML Decision Tree,0.2610119370293629,0.516
7,ML Random Forest,0.12039853187934016,0.66
8,ML Gradient Boost,0.0961303683139351,0.672
9,ML Ada Boost,0.10638779988288857,0.6920000000000001
10,HYBRID Nash Equilibrium + Linear Regression,0.07588222331858434,0.752
11,HYBRID Nash Equilibrium + Decision Tree,0.22912170725058525,0.5640000000000001
12,HYBRID Nash Equilibrium + Random Forest,0.11777264640106404,0.62
13,HYBRID Nash Equilibrium + Gradient Boost,0.09328201171759824,0.6559999999999999
14,HYBRID Nash Equilibrium + Ada Boost,0.10518018644482338,0.68
15,HYBRID Level-0 + Linear Regression,0.07574446149961579,0.724
16,HYBRID Level-0 + Decision Tree,0.26697314557349505,0.516
17,HYBRID Level-0 + Random Forest,0.12257097727676065,0.64
18,HYBRID Level-0 + Gradient Boost,0.1010008814329808,0.6880000000000001
19,HYBRID Level-0 + Ada Boost,0.10504571638612292,0.6839999999999999
20,HYBRID Level-1 + Linear Regression,0.07226002082689545,0.732
21,HYBRID Level-1 + Decision Tree,0.16258397228567495,0.628
22,HYBRID Level-1 + Random Forest,0.08716536949582475,0.7
23,HYBRID Level-1 + Gradient Boost,0.07319297597313998,0.728
24,HYBRID Level-1 + Ada Boost,0.08303283337484549,0.7280000000000001
25,HYBRID Level-2 + Linear Regression,0.07300958010831392,0.7160000000000001
26,HYBRID Level-2 + Decision Tree,0.24191096743066084,0.54
27,HYBRID Level-2 + Random Forest,0.11634879991674744,0.644
28,HYBRID Level-2 + Gradient Boost,0.09093981754998917,0.656
29,HYBRID Level-2 + Ada Boost,0.10411901689347525,0.668
